time,id,mag,future_3h_mag_ge_5_5_event,future_3h_event_count,future_3h_max_mag,future_3h_first_event_time,future_3h_first_event_id
2020-01-01T01:08:54.688Z,us70006t17,4.5,0,0,,,
2020-01-01T01:12:17.070Z,us700070sw,4.3,0,0,,,
2020-01-01T07:00:45.869Z,us700070t7,4.3,0,0,,,
2020-01-01T07:47:41.464Z,us700070t8,4,0,0,,,
2020-01-02T18:23:53.135Z,us70006ttf,5.7,0,0,,,
2020-01-03T01:19:09.789Z,us70006u1x,4.7,0,0,,,
2020-01-03T02:09:03.951Z,us7000714a,4.3,0,0,,,
2020-01-05T12:25:50.011Z,us70006uz5,4.8,0,0,,,
2020-01-05T21:39:18.586Z,us600079be,4.4,0,0,,,
2020-01-07T01:16:55.922Z,us70006vin,4.4,0,0,,,
2020-01-07T05:10:54.021Z,us60007c61,4.6,0,0,,,
2020-01-07T19:21:59.641Z,us60007c6p,4.4,0,0,,,
2020-01-08T00:02:32.185Z,us70006w6d,4.3,0,0,,,
2020-01-08T00:31:04.725Z,us70006w4k,4.5,0,0,,,
2020-01-08T02:57:49.420Z,us70006w66,4.9,0,0,,,
2020-01-08T07:49:48.218Z,us70006w8s,4.4,0,0,,,
2020-01-08T15:24:57.051Z,us70006wdf,4.5,0,0,,,
2020-01-08T17:06:21.385Z,us60007cts,4.1,0,0,,,
2020-01-11T05:45:00.422Z,us70006y6m,4.7,0,0,,,
2020-01-11T12:11:28.615Z,us60007dv9,4.1,0,0,,,
2020-01-11T15:55:40.949Z,us70006yfh,4.7,0,0,,,
2020-01-12T09:25:33.152Z,us60007et2,4.2,0,0,,,
2020-01-13T19:53:48.042Z,us70006zbk,5,0,0,,,
2020-01-14T04:25:51.167Z,us70006zhu,4.8,0,0,,,
2020-01-14T23:18:58.934Z,us60007hcv,4.1,0,0,,,
2020-01-15T11:13:32.534Z,us60007i8l,4.1,0,0,,,
2020-01-15T11:31:34.840Z,us70007077,5,0,0,,,
2020-01-17T17:53:46.204Z,us60007j8n,4.4,0,0,,,
2020-01-17T20:21:34.532Z,us600079g5,4.3,0,0,,,
2020-01-19T22:53:17.805Z,us60007k7p,4,0,0,,,
2020-01-21T10:17:54.906Z,us60007c0t,4.6,0,0,,,
2020-01-21T19:34:34.181Z,us60007lgf,4.4,0,0,,,
2020-01-22T22:08:45.393Z,us60007lj4,4.4,0,0,,,
2020-01-23T16:21:16.334Z,us60007nib,4.2,0,0,,,
2020-01-24T03:44:31.491Z,us60007eec,4.6,0,0,,,
2020-01-24T13:28:40.967Z,us60007enz,4.6,0,0,,,
2020-01-25T10:37:22.028Z,us60007fn8,4.4,0,0,,,
2020-01-25T11:01:20.107Z,us60007fn7,4.7,0,0,,,
2020-01-25T17:44:35.087Z,us70007j4x,4.1,0,0,,,
2020-01-25T19:40:44.906Z,us60007fwv,4.6,0,0,,,
2020-01-28T01:36:03.649Z,us60007huu,5.4,0,0,,,
2020-01-28T10:13:50.067Z,us60007i3r,4.5,0,0,,,
2020-01-28T14:59:47.176Z,us70007k44,4.3,0,0,,,
2020-01-29T06:14:05.544Z,us60007iv7,4.6,0,0,,,
2020-01-29T10:32:24.046Z,us70007kw3,4.4,0,0,,,
2020-01-30T03:21:18.146Z,us70007kxy,4.4,0,0,,,
2020-01-31T12:26:29.574Z,us70007l0w,4.2,0,0,,,
2020-01-31T16:11:21.024Z,us60007lgs,5.2,0,0,,,
2020-01-31T17:07:46.302Z,us60007lia,5.3,0,0,,,
2020-02-01T04:37:39.375Z,us70007mkb,4.2,0,0,,,
2020-02-01T04:43:05.910Z,us70007mk5,4.3,0,0,,,
2020-02-01T08:21:42.765Z,us70007mkd,4.3,0,0,,,
2020-02-02T06:28:08.815Z,us60007ml8,4.7,0,0,,,
2020-02-03T07:10:13.474Z,us70007nuj,4.3,0,0,,,
2020-02-03T19:54:04.581Z,us70007nv1,4,0,0,,,
2020-02-04T21:35:13.931Z,us70007pev,4.3,0,0,,,
2020-02-05T01:00:49.970Z,us70007itc,4.7,0,0,,,
2020-02-06T06:44:12.374Z,us70007q1e,4.4,0,0,,,
2020-02-06T11:19:56.405Z,us70007juj,5.3,0,0,,,
2020-02-07T22:54:56.883Z,us70007q4t,4.2,0,0,,,
2020-02-08T03:13:59.336Z,us70007q5f,4.3,0,0,,,
2020-02-08T21:58:38.568Z,us70007lrw,4.6,0,0,,,
2020-02-08T22:47:05.647Z,us70007q6h,4.1,0,0,,,
2020-02-09T07:36:14.355Z,us70007q7m,4,0,0,,,
2020-02-09T21:08:32.785Z,us70007q8b,4.3,0,0,,,
2020-02-10T10:11:07.709Z,us70007mhd,4.8,0,0,,,
2020-02-10T14:52:17.341Z,us70007mjv,4.6,0,0,,,
2020-02-10T21:11:44.438Z,us70007mvi,3.2,0,0,,,
2020-02-11T18:06:27.056Z,us70007sg5,4.5,0,0,,,
2020-02-11T19:14:32.409Z,us70007nac,4.5,0,0,,,
2020-02-12T10:36:36.987Z,us70007t1f,4.3,0,0,,,
2020-02-12T10:37:18.660Z,us70007nqa,5.2,0,0,,,
2020-02-13T10:33:44.406Z,us70007pa9,7,0,0,,,
2020-02-14T06:22:26.278Z,us70007pvq,4.7,0,0,,,
2020-02-15T06:08:24.934Z,us70007qqv,4,0,0,,,
2020-02-15T18:52:47.208Z,us70007qz1,4.5,0,0,,,
2020-02-17T03:40:52.968Z,us70007rmf,4.6,0,0,,,
2020-02-18T03:45:11.133Z,us70007s72,4.5,0,0,,,
2020-02-18T03:45:32.010Z,us70007vwu,4.7,0,0,,,
2020-02-19T15:50:33.807Z,us70007t2h,4.7,0,0,,,
2020-02-20T03:53:09.975Z,us70007tdf,4.5,0,0,,,
2020-02-22T11:47:24.949Z,us600085at,4.1,0,0,,,
2020-02-22T20:42:15.276Z,us70007uwe,4.4,0,0,,,
2020-02-23T09:48:54.783Z,us600085ya,4.2,0,0,,,
2020-02-23T10:03:35.999Z,us70007v4s,4.7,0,0,,,
2020-02-23T12:57:08.416Z,us70007v6u,4.9,0,0,,,
2020-02-23T17:29:19.923Z,us70007vb4,4.4,0,0,,,
2020-02-25T06:39:47.533Z,us70007wbp,4.7,0,0,,,
2020-02-25T17:58:58.774Z,us600089b7,4.2,0,0,,,
2020-02-26T00:22:29.890Z,us600084d3,4.3,0,0,,,
2020-02-26T18:02:44.272Z,us600089i3,4.1,0,0,,,
2020-02-29T00:27:27.158Z,us60008acs,4.1,0,0,,,
2020-03-01T00:08:37.823Z,us6000876d,4.4,0,0,,,
2020-03-02T00:47:34.701Z,us600087mu,4.8,0,0,,,
2020-03-02T22:43:23.187Z,us6000888n,4.5,0,0,,,
2020-03-03T02:59:43.943Z,us60008b6q,4.3,0,0,,,
2020-03-03T03:20:24.421Z,us60008b6b,4.2,0,0,,,
2020-03-03T09:31:14.048Z,us600088jk,4.8,0,0,,,
2020-03-03T09:44:48.621Z,us600088ju,4.5,0,0,,,
2020-03-04T07:25:44.820Z,us60008cjn,4,0,0,,,
2020-03-07T05:02:08.363Z,us60008bim,4.7,0,0,,,
2020-03-07T11:56:54.354Z,us60008c7q,4.3,0,0,,,
2020-03-08T19:28:44.689Z,us60008c4z,4.9,0,0,,,
2020-03-09T03:34:13.527Z,us60008f48,4.2,0,0,,,
2020-03-09T11:56:01.967Z,us60008f4k,4.4,0,0,,,
2020-03-10T00:13:34.044Z,us60008f5d,4.3,0,0,,,
2020-03-10T06:39:54.378Z,us60008f5g,4.5,0,0,,,
2020-03-11T04:04:29.175Z,us60008dhz,4.5,0,0,,,
2020-03-11T05:03:39.028Z,us60008gkg,4,0,0,,,
2020-03-12T17:18:46.197Z,us60008egj,5.3,0,0,,,
2020-03-13T13:06:41.283Z,us60008ezs,4.7,0,0,,,
2020-03-14T11:05:28.090Z,us60008hpu,4.1,0,0,,,
2020-03-15T02:49:09.101Z,us60008fya,4.2,0,0,,,
2020-03-15T10:30:48.346Z,us70008c3u,4.3,0,0,,,
2020-03-15T20:28:27.570Z,us70008c46,4.3,0,0,,,
2020-03-16T11:42:20.797Z,us60008gsp,3.8,0,0,,,
2020-03-16T12:23:33.080Z,us70008gxf,4.1,0,0,,,
2020-03-17T07:54:52.518Z,us70008gxy,4.2,0,0,,,
2020-03-17T15:10:32.414Z,us60008h6c,5,0,0,,,
2020-03-18T16:32:42.911Z,us70008gyw,4.3,0,0,,,
2020-03-20T19:47:39.563Z,us70008h0f,4.3,0,0,,,
2020-03-21T03:37:54.160Z,us70008den,4.4,0,0,,,
2020-03-21T09:03:11.305Z,us70008dht,4.5,0,0,,,
2020-03-24T19:04:06.519Z,us70008f8y,4.8,0,0,,,
2020-03-25T07:15:44.252Z,us70008iya,4.2,0,0,,,
2020-03-25T17:43:43.396Z,us70008iyi,4.3,0,0,,,
2020-03-25T22:18:22.156Z,us70008g42,4.1,0,0,,,
2020-03-28T00:57:51.769Z,us70008hmk,4.9,0,0,,,
2020-03-30T08:15:10.494Z,us70008mne,3.9,0,0,,,
2020-03-30T22:05:32.068Z,us70008iwi,4.5,0,0,,,
2020-03-31T11:24:00.075Z,us70008j5w,4.9,0,0,,,
2020-03-31T19:49:52.012Z,us70008mt4,4.3,0,0,,,
2020-04-01T04:28:32.489Z,us70008qh9,4.3,0,0,,,
2020-04-02T01:30:08.498Z,us70008rhs,4.1,0,0,,,
2020-04-02T04:28:28.263Z,us70008rhr,4.2,0,0,,,
2020-04-02T09:13:16.793Z,us70008lec,4.5,0,0,,,
2020-04-03T01:24:11.588Z,us70008rq4,4.3,0,0,,,
2020-04-03T04:02:08.809Z,us70008rq6,4.4,0,0,,,
2020-04-06T07:41:43.721Z,us70008ps9,4.2,0,0,,,
2020-04-07T01:47:12.687Z,us70008wm1,4.4,0,0,,,
2020-04-07T05:12:03.027Z,us70008qdk,4.8,0,0,,,
2020-04-08T10:44:49.874Z,us70008wvg,4.2,0,0,,,
2020-04-08T12:32:10.372Z,us70008wvj,4.5,0,0,,,
2020-04-09T22:58:22.484Z,us70008xma,4.1,0,0,,,
2020-04-10T10:22:56.983Z,us70008t5u,4.5,0,0,,,
2020-04-10T12:40:53.958Z,us70008ye7,4.2,0,0,,,
2020-04-10T20:29:10.223Z,us70008tgt,4.4,0,0,,,
2020-04-11T15:44:47.876Z,us70008ty7,4.8,0,0,,,
2020-04-12T13:11:51.635Z,us70008uuw,4.6,0,0,,,
2020-04-12T13:47:42.741Z,us70008uwg,4.3,0,0,,,
2020-04-12T20:05:05.951Z,us70008ym8,4.2,0,0,,,
2020-04-14T02:02:10.384Z,us7000912d,4.1,0,0,,,
2020-04-14T02:46:26.348Z,us70008vu4,5,0,0,,,
2020-04-15T17:15:29.320Z,us700091sv,4.1,0,0,,,
2020-04-16T02:18:01.618Z,us70008x9u,4.6,0,0,,,
2020-04-17T05:36:48.234Z,us70008y7m,4,0,0,,,
2020-04-17T12:11:02.732Z,us70008yft,4.3,0,0,,,
2020-04-19T03:09:39.430Z,us70008zpf,4.3,0,0,,,
2020-04-19T20:39:05.639Z,us7000903m,6.3,0,0,,,
2020-04-19T23:35:22.546Z,us60009big,4.1,0,0,,,
2020-04-20T01:49:36.927Z,us70009076,4.4,0,0,,,
