condition,run,seed,n_rows,total_event_count,baseline_p_collapse,n_high,n_event_high,p_collapse_given_high_omega,ratio
shuffled_labels,1,20260525,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,2,20260526,479,24,0.05010438413361169,5,1,0.2,3.9916666666666667
shuffled_labels,3,20260527,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,4,20260528,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,5,20260529,479,24,0.05010438413361169,5,1,0.2,3.9916666666666667
shuffled_labels,6,20260530,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,7,20260531,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,8,20260532,479,24,0.05010438413361169,5,1,0.2,3.9916666666666667
shuffled_labels,9,20260533,479,24,0.05010438413361169,5,1,0.2,3.9916666666666667
shuffled_labels,10,20260534,479,24,0.05010438413361169,5,2,0.4,7.983333333333333
shuffled_labels,11,20260535,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,12,20260536,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,13,20260537,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,14,20260538,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,15,20260539,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,16,20260540,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,17,20260541,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,18,20260542,479,24,0.05010438413361169,5,1,0.2,3.9916666666666667
shuffled_labels,19,20260543,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,20,20260544,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,21,20260545,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,22,20260546,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,23,20260547,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,24,20260548,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,25,20260549,479,24,0.05010438413361169,5,1,0.2,3.9916666666666667
shuffled_labels,26,20260550,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,27,20260551,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,28,20260552,479,24,0.05010438413361169,5,1,0.2,3.9916666666666667
shuffled_labels,29,20260553,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,30,20260554,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,31,20260555,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,32,20260556,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,33,20260557,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,34,20260558,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,35,20260559,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,36,20260560,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,37,20260561,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,38,20260562,479,24,0.05010438413361169,5,1,0.2,3.9916666666666667
shuffled_labels,39,20260563,479,24,0.05010438413361169,5,1,0.2,3.9916666666666667
shuffled_labels,40,20260564,479,24,0.05010438413361169,5,0,0.0,0.0
shuffled_labels,41,20260565,479,24,0.05010438413361169,5,0,0.0,0.0
