condition,run,seed,n_rows,total_event_count,baseline_p_collapse,n_high,n_event_high,p_collapse_given_high_omega,ratio
shuffled_labels,1,20260525,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,2,20260526,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,3,20260527,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,4,20260528,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,5,20260529,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,6,20260530,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,7,20260531,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,8,20260532,710,36,0.05070422535211268,8,4,0.5,9.86111111111111
shuffled_labels,9,20260533,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,10,20260534,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,11,20260535,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,12,20260536,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,13,20260537,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,14,20260538,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,15,20260539,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,16,20260540,710,36,0.05070422535211268,8,2,0.25,4.930555555555555
shuffled_labels,17,20260541,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,18,20260542,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,19,20260543,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,20,20260544,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,21,20260545,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,22,20260546,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,23,20260547,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,24,20260548,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,25,20260549,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,26,20260550,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,27,20260551,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,28,20260552,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,29,20260553,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,30,20260554,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,31,20260555,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,32,20260556,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,33,20260557,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,34,20260558,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,35,20260559,710,36,0.05070422535211268,8,2,0.25,4.930555555555555
shuffled_labels,36,20260560,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,37,20260561,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,38,20260562,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,39,20260563,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,40,20260564,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,41,20260565,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,42,20260566,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,43,20260567,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,44,20260568,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
shuffled_labels,45,20260569,710,36,0.05070422535211268,8,0,0.0,0.0
shuffled_labels,46,20260570,710,36,0.05070422535211268,8,1,0.125,2.4652777777777777
