day,value,event
1,99.68,0
2,100.76,0
3,99.84,0
4,100.92,0
5,100.0,0
6,101.08,0
7,100.16,0
8,101.24,0
9,100.32,0
10,101.4,0
11,100.48,0
12,101.56,0
13,100.64,0
14,101.72,0
15,100.8,0
16,101.88,0
17,100.96,0
18,102.04,0
19,101.12,0
20,102.2,0
21,101.28,0
22,102.36,0
23,101.44,0
24,102.52,0
25,101.6,0
26,102.68,0
27,101.76,0
28,102.84,0
29,101.92,0
30,103.0,0
31,102.08,0
32,103.16,0
33,102.24,0
34,103.32,0
35,102.4,0
36,103.48,0
37,102.56,0
38,103.64,0
39,102.72,0
40,103.8,0
41,102.88,0
42,103.96,0
43,103.04,0
44,104.12,0
45,103.2,0
46,104.28,0
47,103.36,0
48,104.44,0
49,103.52,0
50,104.6,0
51,103.68,0
52,104.76,0
53,103.84,0
54,104.92,0
55,104.0,0
56,105.08,0
57,104.16,0
58,105.24,0
59,104.32,0
60,105.4,0
61,104.48,0
62,105.56,0
63,104.64,0
64,105.72,0
65,104.8,0
66,105.88,0
67,104.96,0
68,106.04,0
69,105.12,0
70,106.2,0
71,105.28,0
72,106.36,0
73,105.44,0
74,106.52,0
75,105.6,0
76,106.68,0
77,105.76,0
78,106.84,0
79,105.92,0
80,107.0,0
81,106.08,0
82,107.16,0
83,106.24,0
84,107.32,0
85,106.4,0
86,107.48,0
87,106.56,0
88,107.64,0
89,106.72,0
90,107.8,0
91,106.88,0
92,107.96,0
93,107.04,0
94,108.12,0
95,107.2,0
96,108.28,0
97,107.36,0
98,108.44,0
99,107.52,0
100,135.52,1
101,107.68,0
102,108.76,0
103,107.84,0
104,108.92,0
105,108.0,0
106,109.08,0
107,108.16,0
108,109.24,0
109,108.32,0
110,109.4,0
111,108.48,0
112,109.56,0
113,108.64,0
114,109.72,0
115,108.8,0
116,109.88,0
117,108.96,0
118,110.04,0
119,109.12,0
120,110.2,0
121,109.28,0
122,110.36,0
123,109.44,0
124,110.52,0
125,109.6,0
126,110.68,0
127,109.76,0
128,110.84,0
129,109.92,0
130,111.0,0
131,110.08,0
132,111.16,0
133,110.24,0
134,111.32,0
135,110.4,0
136,111.48,0
137,110.56,0
138,111.64,0
139,110.72,0
140,111.8,0
141,110.88,0
142,111.96,0
143,111.04,0
144,112.12,0
145,111.2,0
146,112.28,0
147,111.36,0
148,112.44,0
149,111.52,0
150,112.6,0
151,111.68,0
152,112.76,0
153,111.84,0
154,112.92,0
155,112.0,0
156,113.08,0
157,112.16,0
158,113.24,0
159,112.32,0
160,113.4,0
161,112.48,0
162,113.56,0
163,112.64,0
164,113.72,0
165,112.8,0
166,113.88,0
167,112.96,0
168,114.04,0
169,113.12,0
170,114.2,0
171,113.28,0
172,114.36,0
173,113.44,0
174,114.52,0
175,113.6,0
176,114.68,0
177,113.76,0
178,114.84,0
179,113.92,0
180,141.92,0
181,114.08,0
182,115.16,0
183,114.24,0
184,115.32,0
185,114.4,0
186,115.48,0
187,114.56,0
188,115.64,0
189,114.72,0
190,115.8,0
191,114.88,0
192,115.96,0
193,115.04,0
194,116.12,0
195,115.2,0
196,116.28,0
197,115.36,0
198,116.44,0
199,115.52,0
200,116.6,0
201,115.68,0
202,116.76,0
203,115.84,0
204,116.92,0
205,116.0,0
206,117.08,0
207,116.16,0
208,117.24,0
209,116.32,0
210,117.4,0
211,116.48,0
212,117.56,0
213,116.64,0
214,117.72,0
215,116.8,0
216,117.88,0
217,116.96,0
218,118.04,0
219,117.12,0
220,118.2,0
221,117.28,0
222,118.36,0
223,117.44,0
224,118.52,0
225,117.6,0
226,118.68,0
227,117.76,0
228,118.84,0
229,117.92,0
230,119.0,0
231,118.08,0
232,119.16,0
233,118.24,0
234,119.32,0
235,118.4,0
236,119.48,0
237,118.56,0
